Jogador;Equipa;Equipa dentro de um período de tempo seleccionado;Posição;Idade;Valor de mercado;Contrato termina;Partidas jogadas;Minutos jogados:;Golos;Golos esperados;Assistências;Assistências esperadas;Duelos/90;Duelos ganhos, %;Naturalidade;País de nacionalidade;Pé;Altura;Peso;Emprestado;Ações defensivas com êxito/90;Duelos defensivos/90;Duelos defensivos ganhos, %;Duelos aérios/90;Duelos aéreos ganhos, %;Cortes/90;Cortes de carrinho ajust. à posse;Remates intercetados/90;Interseções/90;Interceções ajust. à posse;Faltas/90;Cartões amarelos;Cartões amarelos/90;Cartões vermelhos;Cartões vermelhos/90;Acções atacantes com sucesso/90;Golos/90;Golos sem ser por penálti;Golos sem ser por penálti/90;Golos esperados/90;Golos de cabeça;Golos de cabeça/90;Remate;Remates/90;Remates à baliza, %;Golos marcados, %;Assistências/90;Cruzamentos/90;Cruzamentos certos, %;Cruzamentos do flanco esquerdo/90;Cruzamentos precisos do flanco esquerdo, %;Cruzamentos do flanco direito/90;Cruzamentos precisos do flanco direito, %;Cruzamentos para a área de baliza/90;Dribles/90;Dribles com sucesso, %;Duelos ofensivos/90;Duelos ofensivos ganhos, %;Toques na área/90;Corridas progressivas/90;Acelerações/90;Passes recebidos/90;Passes longos recebidos/90;Faltas sofridas/90;Passes/90;Passes certos, %;Passes para a frente/90;Passes para a frente certos, %;Passes para trás/90;Passes para trás certos, %;Passes laterais/90;Passes laterais certos, %;Passes curtos / médios /90;Passes curtos / médios precisos, %;Passes longos/90;Passes longos certos, %;Comprimento médio de passes, m;Comprimento médio de passes longos, m;Assistências esperadas/90;Assistências para remate/90;Segundas assistências/90;Terceiras assistências/90;Passes inteligentes/90;Passes inteligentes certos, %;Passes chave/90;Passes para terço final/90;Passes certos para terço final, %;Passes para a área de penálti/90;Passes precisos para a área de penálti, %;Passes em profundidade/90;Passes em profundidade certos, %;Receção de passes em profundidade/90;Cruzamentos em profundidade recebidos/90;Passes progressivos/90;Passes progressivos certos, %;Golos sofridos;Golos sofridos/90;Remates sofridos;Remates sofridos/90;Jogos sem sofrer golos;Defesas, %;Golos sofridos esperados ;Golos sofridos esperados/90;Golos expectáveis defendidos;Golos expectáveis defendidos por 90´;Passes para trás recebidos pelo guarda-redes/90;Saídas/90;Duelos aérios/90;Livres/90;Livres directos/90;Pontapés livres directos à baliza, %;Cantos/90;Penaltis marcados;Conversão de penaltis, %
L. Ambrogio;Independiente Rivadavia;Argentinos Juniors;CF;23;300000;2025-12-31;1;11;0;0;0;0;;;Argentina;Argentina;direito;181;72;sim;;;;;;;10;;;10;;0;;0;;;;0;;;0;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,14;0;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;;;;;;;;;;;0;0
P. Monti;;Gimnasia La Plata;LCB;24;10000;;1;12;0;0;0;0;;;Argentina;Argentina;direito;175;76;sim;;;;;;;0;;;60;;0;;0;;;;0;;;0;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;;;;;;;;;;;0;0
J. Mazzaco;Rosario Central;Rosario Central;LB;22;50000;;1;13;0;0,14;0;0;;;Argentina;Argentina;esquerdo;174;68;sim;;;;;;;0;;;60;;0;;0;;;;0;;;0;;1;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14,97;0;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;;;;;;;;;;;0;0
T. Castro Ponce;Godoy Cruz;River Plate;LCMF;21;75000;2023-12-31;1;14;0;0;0;0;;;Argentina;Argentina;direito;185;76;sim;;;;;;;0;;;0;;0;;0;;;;0;;;0;;1;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;80,12;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;;;;;;;;;;;0;0
J. Romero;Atlético Tucumán Res.;Atlético Tucumán;RW;22;75000;;1;14;0;0;0;0;;;Argentina;Argentina;direito;170;65;sim;;;;;;;7,5;;;7,5;;0;;0;;;;0;;;0;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19,31;0;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;;;;;;;;;;;0;0
N. Ulariaga;Godoy Cruz;Godoy Cruz;CF;20;25000;2024-12-31;1;14;1;0,42;0;0,03;;;Argentina;Argentina;direito;173;76;sim;;;;;;;0;;;0;;0;;0;;;;1;;;0;;1;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18,87;0;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;;;;;;;;;;;0;0
A. Sosa;Patronato;Patronato;CF;21;0;;1;15;0;0;0;0;;;Argentina;Argentina;esquerdo;178;79;sim;;;;;;;0;;;0;;0;;0;;;;0;;;0;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12,57;0;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;;;;;;;;;;;0;0
F. Echevarría;Defensa y Justicia Res.;Defensa y Justicia;CF;20;50000;;1;15;0;0;0;0;;;Argentina;Argentina;;0;0;sim;;;;;;;0;;;0;;0;;0;;;;0;;;0;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;;;;;;;;;;;0;0
G. Casazza;San Martín Formosa;Lanús;DMF;23;25000;2023-12-31;1;16;0;0;0;0;;;Argentina;Argentina;;182;72;sim;;;;;;;0;;;6;;0;;0;;;;0;;;0;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17,25;0;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;;;;;;;;;;;0;0
K. Lomónaco;Red Bull Bragantino;Lanús;RB;20;1000000;2027-04-30;2;16;0;0,07;0;0;;;Argentina;Argentina;direito;192;78;sim;;;;;;;0;;;0;;0;;0;;;;0;;;0;;1;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21,6;20,74;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;;;;;;;;;;;0;0
I. Mammini;Gimnasia La Plata Res.;Gimnasia La Plata;CF;19;0;2023-06-30;1;16;0;0;0;0;;;Argentina;Argentina;direito;178;69;sim;;;;;;;0;;;0;;0;;0;;;;0;;;0;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12,14;0;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;;;;;;;;;;;0;0
M. Pellegrino;Estudiantes;Vélez Sarsfield;CF;21;0;;1;16;0;0,21;0;0;;;Argentina;Argentina, Spain;esquerdo;193;85;sim;;;;;;;0;;;15;;0;;0;;;;0;;;0;;1;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13,7;0;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;;;;;;;;;;;0;0
T. Pozzo;Independiente;Independiente;AMF;22;1500000;2023-12-31;1;17;0;0;0;0;;;Argentina;Argentina, Italy;esquerdo;168;65;sim;;;;;;;0;;;15;;0;;0;;;;0;;;0;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14,53;0;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;;;;;;;;;;;0;0
D. Mercado;Huracán;Huracán;LCMF;25;50000;2022-12-31;1;17;0;0;0;0;;;Argentina;Argentina;direito;169;71;sim;;;;;;;10;;;0;;0;;0;;;;0;;;0;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46,52;46,52;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;;;;;;;;;;;0;0
B. Maidana;Deportivo Santamarina;Huracán;RCMF;23;125000;2023-06-30;1;18;0;0;0;0;;;Argentina;Argentina;direito;170;63;sim;;;;;;;0;;;22,5;;0;;0;;;;0;;;0;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12,61;17,72;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;;;;;;;;;;;0;0
J. García;Vélez Sarsfield;Vélez Sarsfield;RB;21;25000;2024-12-31;1;19;0;0;0;0,21;;;Argentina;Argentina;esquerdo;182;76;sim;;;;;;;0;;;0;;0;;0;;;;0;;;0;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23,72;0;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;;;;;;;;;;;0;0
G. Fernández;Boca Juniors;Boca Juniors;RCMF, DMF;30;3000000;2024-12-31;1;20;0;0;0;0;;;Argentina;Argentina;direito;176;74;sim;;;;;;;4,29;;;4,29;;0;;0;;;;0;;;0;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25,51;41,21;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;;;;;;;;;;;0;0
G. Torres;Ferro Carril Oeste LP;Talleres Córdoba;LDMF;22;50000;2022-12-31;1;20;0;0;0;0;;;Argentina;Argentina;direito;170;63;sim;;;;;;;7,5;;;0;;0;;0;;;;0;;;0;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44,66;0;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;;;;;;;;;;;0;0
M. Tanlongo;Rosario Central;Rosario Central;RDMF;18;700000;2022-12-31;1;21;0;0;0;0;;;Argentina;Argentina, Italy;direito;181;63;sim;;;;;;;0;;;0;;0;;0;;;;0;;;0;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18,32;0;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;;;;;;;;;;;0;0
I. Cechi;Lanús;Lanús;RCMF;21;50000;2022-12-31;1;21;0;0;0;0;;;Argentina;Argentina;direito;179;70;sim;;;;;;;0;;;6;;0;;0;;;;0;;;0;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18,88;27,66;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;;;;;;;;;;;0;0
T. Andrade;Audax Italiano;Argentinos Juniors;AMF, LDMF;25;400000;2022-12-31;1;21;0;0;0;0;;;Argentina;Argentina, Italy;esquerdo;175;76;sim;;;;;;;0;;;10;;0;;0;;;;0;;;0;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13,91;0;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;;;;;;;;;;;0;0
R. Enrique;Banfield;Banfield;RW;21;2000000;2023-12-31;1;21;0;0;0;0;;;Argentina;Argentina;direito;171;68;sim;;;;;;;0;;;10;;0;;0;;;;0;;;0;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24,43;0;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;;;;;;;;;;;0;0
E. Brítez;Fortaleza;Defensa y Justicia;LCB;30;900000;2024-12-31;1;22;0;0;0;0;;;Argentina;Argentina;direito;178;75;sim;;;;;;;0;;;45;;0;;0;;;;0;;;0;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18,5;33,24;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;;;;;;;;;;;0;0
L. Varaldo;Lanús;Lanús;CF;20;375000;2023-12-31;1;23;0;0;0;0,01;;;Argentina;Argentina;direito;176;74;sim;;;;;;;0;;;0;;0;;0;;;;0;;;0;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,04;0;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;;;;;;;;;;;0;0
E. Cecchini;Gimnasia La Plata;Unión Santa Fe;RCMF;25;450000;2022-12-31;1;23;0;0;0;0,02;;;Argentina;Argentina, Italy;direito;180;77;sim;;;;;;;0;;;10;;0;;0;;;;0;;;0;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18,65;0;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;;;;;;;;;;;0;0
U. Ramírez;Aldosivi;Aldosivi;AMF, RCMF;23;25000;;2;23;0;0;0;0;;;Argentina;Argentina;direito;189;78;sim;;;;;;;0;;;0;;0;;0;;;;0;;;0;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13,45;23,93;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;;;;;;;;;;;0;0
H. Tijanovich;Platense;Gimnasia La Plata;RW;26;175000;2022-12-31;1;23;0;0;0;0,01;;;Argentina;Argentina, Uruguay;direito;173;68;sim;;;;;;;0;;;3,33;;0;;0;;;;0;;;0;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21,06;31,71;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;;;;;;;;;;;0;0
D. Saggiomo;Atlanta;Argentinos Juniors;RCMF;24;175000;2023-12-31;1;25;0;0;0;0;;;Venezuela;Venezuela, Italy;direito;167;62;sim;;;;;;;0;;;0;;0;;0;;;;0;;;0;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18,7;28,02;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;;;;;;;;;;;0;0
A. Guiffrey;Los Andes;Patronato;LAMF, RAMF;24;50000;2023-12-31;1;26;0;0;0;0;;;Argentina;Argentina;esquerdo;176;69;sim;;;;;;;0;;;10;;0;;0;;;;0;;;0;;1;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22,22;0;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;;;;;;;;;;;0;0
S. Pierotti;Colón;Colón;RAMF;21;1600000;2024-12-31;1;27;0;0;0;0,47;;;Argentina;Argentina;direito;189;83;sim;;;;;;;0;;;7,5;;0;;0;;;;0;;;0;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12,75;0;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;;;;;;;;;;;0;0
F. Versaci;Defensa y Justicia;Vélez Sarsfield;RDMF, LCMF;20;50000;2022-12-31;2;27;0;0;1;0;;;Argentina;Argentina;esquerdo;170;68;sim;;;;;;;7,5;;;0;;0;;0;;;;0;;;0;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18,05;0;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;;;;;;;;;;;0;0
I. Machuca;Unión Santa Fe;Unión Santa Fe;RW;22;700000;2025-12-31;1;28;0;0,19;0;0;;;Argentina;Argentina;direito;169;64;sim;;;;;;;7,5;;;0;;0;;0;;;;0;;;0;;1;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10,01;0;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;;;;;;;;;;;0;0
J. Cruz;Banfield;Banfield;CF;23;1000000;2023-12-31;1;29;0;0,12;0;0;;;Argentina;Argentina;direito;184;71;sim;;;;;;;0;;;7,5;;0;;0;;;;0;;;0;;1;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12,98;0;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;;;;;;;;;;;0;0
J. Zárate;Aldosivi Res.;Aldosivi;RW, RCMF;23;25000;;1;30;0;0;0;0;;;Argentina;Argentina;direito;181;76;sim;;;;;;;3,33;;;0;;1;;0;;;;0;;;0;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23,84;0;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;;;;;;;;;;;0;0
M. Lago;San Martín San Juan;Talleres Córdoba;LW, LWB;20;50000;2024-12-31;3;30;0;0;0;0;;;Argentina;Argentina;direito;175;72;sim;;;;;;;0;;;0;;0;;0;;;;0;;;0;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13,74;0;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;;;;;;;;;;;0;0
L. Marchi;Arsenal;Arsenal;LW, LB;26;50000;2022-12-31;2;34;0;0;0;0;;;Argentina;Argentina;esquerdo;180;70;sim;;;;;;;0;;;8,18;;0;;0;;;;0;;;0;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13,4;0;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;;;;;;;;;;;0;0
A. Curruhinca;Huracán;Huracán;RWF, RCMF;22;100000;2024-12-31;1;35;0;0;0;0;;;Argentina;Argentina;direito;167;64;sim;;;;;;;0;;;5;;0;;0;;;;0;;;0;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55,37;19,35;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;;;;;;;;;;;0;0
A. Tabares;Estudiantes Río Cuarto;Lanús;LWF, LB;21;50000;2024-12-31;2;36;0;0;0;0;;;Argentina;Argentina;esquerdo;179;71;sim;;;;;;;0;;;3;;0;;0;;;;0;;;0;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19,14;15,24;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;;;;;;;;;;;0;0
W. Pérez;Huracán;Huracán;LDMF, LCMF;23;425000;2023-06-30;2;36;0;0;0;0;;;Argentina;Argentina;esquerdo;175;76;sim;;;;;;;0;;;4,29;;0;;0;;;;0;;;0;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20,34;29,9;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;;;;;;;;;;;0;0
F. Montero;Deportivo Maipú;Argentinos Juniors;RW, RAMF;33;75000;2023-12-31;3;36;0;0;0;0;;;Argentina;Argentina;direito;167;68;sim;;;;;;;0;;;6,67;;0;;0;;;;0;;;0;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9,96;11,98;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;;;;;;;;;;;0;0
M. Landaburu;San Telmo;Independiente;CF, AMF;22;10000;2023-06-30;3;39;0;0,05;0;0,01;;;Argentina;Argentina;direito;186;82;sim;;;;;;;0;;;2,73;;0;;0;;;;0;;;0;;1;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,74;0;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;;;;;;;;;;;0;0
F. Flores;San Lorenzo;San Lorenzo;RB;20;1500000;2023-12-31;1;43;0;0;0;0,02;;;Argentina;Argentina;direito;182;78;sim;;;;;;;0;;;8,57;;0;;0;;;;0;;;0;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17,42;0;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;;;;;;;;;;;0;0
L. Rinaldi;WSG Swarovski Tirol;Aldosivi;CF;28;200000;2022-12-31;3;44;1;0,16;0;0;;;Argentina;Argentina, Italy;direito;180;75;sim;;;;;;;0;;;2,5;;0;;0;;;;1;;;0;;1;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14,35;0;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;;;;;;;;;;;0;0
L. Giaccone;Ferro Carril Oeste;Rosario Central;RAMF, RWB, AMF;21;150000;2022-12-31;2;45;0;0,07;0;0,03;20;40;Argentina;Argentina;esquerdo;172;68;sim;6;4;50;0;0;0;0;0;4;7,5;0;0;0;0;0;4;0;0;0;0,15;0;0;1;2;0;0;0;8;0;6;0;2;0;0;10;40;16;37,5;8;6;4;28;2;0;38;68,42;8;50;8;100;14;71,43;30;86,67;2;0;30,38;24,15;0,05;2;0;0;2;0;2;4;50;8;0;2;0;2;2;6;66,67;0;;0;;0;0;0;0;;;0;;;0;0;0;0;0;0
E. Cardozo;Atlanta;Racing Club;LW, RCMF;21;75000;2022-12-31;2;45;0;0;0;0;22;27,27;Argentina;Argentina, Paraguay;direito;167;59;sim;6;2;100;0;0;2;2,73;0;2;2,73;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;8;25;16;12,5;0;2;0;12;4;0;22;81,82;4;100;6;100;2;100;20;90;0;0;12,73;0;0;0;0;0;0;0;0;2;100;2;100;0;0;0;0;4;50;0;;0;;0;0;0;0;;;0;;;0;0;0;0;0;0
R. Sordo;Newell's Old Boys;Newell's Old Boys;LAMF, RAMF, RWB;22;1800000;2023-12-31;3;45;0;0,25;0;0,08;32;37,5;Argentina;Argentina;direito;177;68;sim;6;14;28,57;4;0;0;0;0;2;3,75;4;0;0;0;0;10;0;0;0;0,49;0;0;2;4;100;0;0;0;0;0;0;0;0;0;8;75;10;80;2;2;0;34;4;0;34;82,35;8;50;6;100;18;88,89;30;86,67;4;50;16,03;9,63;0,15;2;0;0;0;0;0;6;66,67;0;0;0;0;0;0;2;100;0;;0;;0;0;0;0;;;0;;;2;0;0;4;0;0
M. Montenegro;Tristán Suárez;Central Córdoba SdE;RCMF, LCMF;24;100000;2023-06-30;2;45;0;0;0;0;36;27,78;Argentina;Argentina;direito;178;75;sim;14;10;60;6;0;4;4,62;0;4;4,62;2;1;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;100;10;40;0;0;0;14;0;2;20;70;10;40;2;100;8;100;18;66,67;2;100;23,13;21,92;0;0;0;0;0;0;0;4;50;0;0;0;0;0;0;2;100;0;;0;;0;0;0;0;;;0;;;0;0;0;0;0;0
F. Rodríguez;Cusco;Aldosivi;LCMF, RW;32;400000;2022-12-31;2;46;0;0;0;0,31;19,57;70;Uruguay;Uruguay, Italy;esquerdo;182;72;sim;13,7;5,87;100;7,83;75;1,96;2,14;1,96;5,87;6,43;0;0;0;0;0;3,91;0;0;0;0;0;0;0;0;0;0;0;1,96;100;0;0;1,96;100;0;1,96;100;3,91;50;1,96;1,96;0;9,78;0;1,96;19,57;80;5,87;66,67;3,91;50;9,78;100;17,61;77,78;0;0;14,82;0;0,61;1,96;0;0;0;0;1,96;3,91;50;0;0;0;0;0;1,96;3,91;50;0;;0;;0;0;0;0;;;0;;;0;0;0;7,83;0;0
