Jogador;Equipa;Equipa dentro de um período de tempo seleccionado;Posição;Idade;Valor de mercado;Contrato termina;Partidas jogadas;Minutos jogados:;Golos;Golos esperados;Assistências;Assistências esperadas;Duelos/90;Duelos ganhos, %;Naturalidade;País de nacionalidade;Pé;Altura;Peso;Emprestado;Ações defensivas com êxito/90;Duelos defensivos/90;Duelos defensivos ganhos, %;Duelos aérios/90;Duelos aéreos ganhos, %;Cortes/90;Cortes de carrinho ajust. à posse;Remates intercetados/90;Interseções/90;Interceções ajust. à posse;Faltas/90;Cartões amarelos;Cartões amarelos/90;Cartões vermelhos;Cartões vermelhos/90;Acções atacantes com sucesso/90;Golos/90;Golos sem ser por penálti;Golos sem ser por penálti/90;Golos esperados/90;Golos de cabeça;Golos de cabeça/90;Remate;Remates/90;Remates à baliza, %;Golos marcados, %;Assistências/90;Cruzamentos/90;Cruzamentos certos, %;Cruzamentos do flanco esquerdo/90;Cruzamentos precisos do flanco esquerdo, %;Cruzamentos do flanco direito/90;Cruzamentos precisos do flanco direito, %;Cruzamentos para a área de baliza/90;Dribles/90;Dribles com sucesso, %;Duelos ofensivos/90;Duelos ofensivos ganhos, %;Toques na área/90;Corridas progressivas/90;Acelerações/90;Passes recebidos/90;Passes longos recebidos/90;Faltas sofridas/90;Passes/90;Passes certos, %;Passes para a frente/90;Passes para a frente certos, %;Passes para trás/90;Passes para trás certos, %;Passes laterais/90;Passes laterais certos, %;Passes curtos / médios /90;Passes curtos / médios precisos, %;Passes longos/90;Passes longos certos, %;Comprimento médio de passes, m;Comprimento médio de passes longos, m;Assistências esperadas/90;Assistências para remate/90;Segundas assistências/90;Terceiras assistências/90;Passes inteligentes/90;Passes inteligentes certos, %;Passes chave/90;Passes para terço final/90;Passes certos para terço final, %;Passes para a área de penálti/90;Passes precisos para a área de penálti, %;Passes em profundidade/90;Passes em profundidade certos, %;Receção de passes em profundidade/90;Cruzamentos em profundidade recebidos/90;Passes progressivos/90;Passes progressivos certos, %;Golos sofridos;Golos sofridos/90;Remates sofridos;Remates sofridos/90;Jogos sem sofrer golos;Defesas, %;Golos sofridos esperados ;Golos sofridos esperados/90;Golos expectáveis defendidos;Golos expectáveis defendidos por 90´;Passes para trás recebidos pelo guarda-redes/90;Saídas/90;Duelos aérios/90;Livres/90;Livres directos/90;Pontapés livres directos à baliza, %;Cantos/90;Penaltis marcados;Conversão de penaltis, %
A. Maldonado;Banfield;Banfield;RCB;25;1500000;2024-12-31;13;1275;0;0,47;1;0,21;18,35;68,46;Argentina;Argentina;direito;187;85;sim;13,55;9,53;78,52;3,81;53,7;0,56;0,67;0,85;5,51;6,52;1,2;4;0,28;0;0;0,56;0;0;0;0,03;0;0;4;0,28;0;0;0,07;0;0;0;0;0;0;0;0,56;87,5;1,84;57,69;0,56;0,35;0,42;12,28;0,49;0,71;22,94;80,31;10,8;72,55;0,85;91,67;9,11;90,7;19,62;87,41;3,32;38,3;21,93;31,78;0,01;0,07;0;0,14;0,07;100;0,07;2,82;60;0,21;0;0,21;0;0,07;0;5,36;57,89;0;;0;;0;0;0;0;;;0,35;;;0;0;0;0;0;0
I. Arboleda;;Banfield;GK;26;1800000;;13;1218;0;0;0;0;1,11;86,67;Colombia;Colombia;direito;185;80;sim;1,11;0,15;50;0,67;88,89;0;0;0;1,03;1,24;0,07;2;0,15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,15;100;0;0;0;3,84;0,07;0,52;11,08;80;8,05;75,23;0;0;2,73;97,3;5,39;98,63;5,62;63,16;43,05;55,93;0;0;0;0;0;0;0;2,44;63,64;0;0;0;0;0;0;4,36;77,97;13;0,96;53;3,92;3;75,47;14,49;1,07;1,49;0,11;0;2,14;0,67;;;;0;0;0
J. Rodríguez;Estudiantes;Banfield;DMF;27;3000000;2024-12-31;12;1177;0;0,22;0;0,18;18,73;60,82;Argentina;Argentina;direito;179;77;sim;12,31;7,72;70,3;3,98;67,31;0,46;0,55;0,23;6,42;7,68;1,22;2;0,15;0;0;0,69;0;0;0;0,02;0;0;7;0,54;28,57;0;0;0;0;0;0;0;0;0;0,92;50;3,06;45;0,31;0,31;0,08;18,28;0,15;0,76;34,87;84,65;12,23;75;3,36;97,73;15,83;93,24;31,5;87,38;3,36;59,09;21,41;33,23;0,01;0,69;0,08;0,08;0,23;33,33;0;3,9;70,59;0,54;57,14;0,76;30;0,46;0;6,27;64,63;0;;0;;0;0;0;0;;;0,54;;;0;0;0;0;0;0
E. Coronel;Banfield;Banfield;RB;25;2200000;2024-12-31;12;1177;0;0,19;0;0,3;24,7;49,23;Argentina;Argentina;direito;173;72;sim;12,39;10,55;59,42;3,59;42,55;0,38;0,46;0,23;5,73;6,86;1,68;2;0,15;0;0;2,91;0;0;0;0,01;0;0;10;0,76;10;0;0;1,38;33,33;0;0;1,38;33,33;0,23;3,29;60,47;6,58;47,67;0,61;2,22;1,61;22,48;1,15;0,84;37,39;73,82;19,19;68,53;3,44;86,67;9,48;79,03;30,66;80,3;5,35;47,14;20,24;40,94;0,02;0,31;0;0;1,15;33,33;0,08;8,26;52,78;1,84;37,5;0,69;11,11;0,31;0,38;8,95;75,21;0;;0;;0;0;0;0;;;0,31;;;0,08;0;0;0;0;0
L. Blanco;Rosario Central;Rosario Central;LB, LWB, LW;23;3500000;2027-06-30;12;1143;0;0,13;0;1,12;17,8;50,44;Argentina;Argentina;esquerdo;176;70;sim;8,74;7,8;55,56;1,1;50;0,47;0,59;0,16;3,94;4,9;1,02;4;0,31;0;0;3,78;0;0;0;0,01;0;0;2;0,16;100;0;0;4,96;26,98;4,96;26,98;0;0;0,24;3,31;64,29;5,51;55,71;0,39;1,65;0,87;24,25;2,83;0,24;36,06;71,62;12,44;62,66;4,72;93,33;12,76;74,69;27,24;82,95;4,65;45,76;21,81;40,54;0,09;0,71;0;0;0,31;50;0,31;5,51;60;4,33;40;0,63;25;0,39;1,34;8,82;75;0;;0;;0;0;0;0;;;0,31;;;0;0;0;0;0;0
R. Pérez;Talleres Córdoba;Talleres Córdoba;LCB;32;3000000;2023-12-31;11;1108;0;0,8;0;0,02;14,21;59,43;Colombia;Colombia;direito;186;82;sim;6,66;4,55;64,29;5,28;55,38;0,08;0,12;0,49;3,66;5,29;1,62;4;0,32;0;0;0,57;0;0;0;0,06;0;0;5;0,41;40;0;0;0,08;0;0,08;0;0;0;0;0,65;62,5;1,3;56,25;0,57;0,49;0,08;26,81;0,08;0,89;39,48;88,07;16,65;80;3,17;94,87;17,14;96,21;34,03;93,08;5,36;57,58;23,08;42,08;0;0,08;0;0;0;0;0;3,09;65,79;0;0;0,16;0;0;0;7,72;68,42;0;;0;;0;0;0;0;;;2,76;;;0;0;0;0;0;0
V. Ayala;Guaireña;Gimnasia La Plata;RCMF, RDMF;34;100000;2022-12-31;11;1094;1;1,86;5;1,83;13,41;53,99;Paraguay;Paraguay;direito;177;70;sim;7,4;5,68;50,72;1,73;61,9;0,66;0,92;0;3,87;5,4;1,4;4;0,33;0;0;2,14;0,08;1;0,08;0,15;0;0;29;2,39;44,83;3,448;0,41;1,56;31,58;0,25;33,33;1,32;31,25;0,16;0,99;58,33;3,78;54,35;0,49;0,66;0,58;22,05;1,65;2,06;30,77;74,06;12,92;63,06;2,22;88,89;11,11;80;23,45;80,35;6,17;58,67;22,21;42,45;0,15;1,23;0;0;0,16;0;0;7,73;70,21;2,3;39,29;0,74;44,44;0,33;0,49;8,14;75,76;0;;0;;0;0;0;0;;;0,25;;;2,55;0,82;50;2,47;0;0
J. Broun;Rosario Central;Gimnasia La Plata;GK;36;200000;2022-12-31;11;1094;0;0;0;0;0,33;75;Argentina;Argentina;direito;190;90;sim;1,4;0,08;100;0,08;0;0;0;0;1,32;1,84;0;2;0,16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,08;100;0;0;0;9,13;0;0,08;16,95;85,92;9,38;78,95;0;0;6,91;95,24;10,86;95,45;6,01;69,86;32,96;48,89;0;0;0;0;0;0;0;1,48;44,44;0,08;0;0,16;0;0;0;5,02;72,13;11;0,9;37;3,04;5;70,27;10,54;0,87;-0,46;-0,038;0;1,56;0,08;;;;0;0;0
M. Melluso;Gimnasia La Plata;Gimnasia La Plata;LB;24;1500000;2023-12-31;11;1091;0;0,32;1;0,52;20,87;57,31;Argentina;Argentina;esquerdo;170;63;sim;15,51;9,32;69,91;3,79;56,52;3,38;4,73;0,08;5,61;7,85;1,98;5;0,41;0;0;1,81;0;0;0;0,03;0;0;7;0,58;42,86;0;0,08;1,48;44,44;1,4;47,06;0;0;0;1,65;55;3,55;51,16;0,41;0,99;0,49;18,07;0,82;1,15;33,08;77,06;15,26;71,89;3,79;78,26;9,65;82,91;26,73;83,95;4,95;50;19,33;37,37;0,04;0,58;0;0;0;0;0,41;5,03;67,21;1,65;60;0,25;100;0,41;0,58;9,32;71,68;0;;0;;0;0;0;0;;;0,49;;;0;0;0;0;0;0
E. Vecchio;Racing Club;Rosario Central;AMF, LCMF, CF;33;1200000;2023-12-31;12;1079;5;4,58;3;1,84;25,77;46,6;Argentina;Argentina, Italy;direito;177;84;sim;4,34;4,17;62;1,42;35,29;0,25;0,32;0;1,5;1,91;1,08;2;0,17;0;0;5;0,42;2;0,17;0,38;0;0;23;1,92;52,17;21,739;0,25;1,33;25;0,5;50;0,83;10;0,33;5;61,67;16,27;43,59;1,33;2,34;1,5;28,78;1,84;3,25;41,79;85,03;12,18;78,08;7,17;93,02;16,68;86,5;35,95;89,56;4,59;67,27;20,25;36,19;0,15;1,67;0;0;0,92;63,64;0,42;7,76;76,34;3,92;53,19;1,84;45,45;2,25;0,33;7,17;84,88;0;;0;;0;0;0;0;;;0,33;;;2,84;0,42;40;3,84;3;100
L. Cháves;Huracán;Argentinos Juniors;GK;27;3500000;2025-12-31;11;1070;0;0;0;0,01;1,18;57,14;Argentina;Argentina;direito;178;75;sim;3,36;0,34;50;0,59;42,86;0;0;0;3,2;4,47;0,08;2;0,17;0;0;0,17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,17;100;0,25;100;0;0,08;0;12,62;0,17;0,08;22,88;80,88;16,57;75,13;0;0;6,31;96;9,84;99,15;12,95;67,53;41,83;53,21;0;0,17;0;0;0;0;0;5,8;71,01;0,08;100;0;0;0,08;0;10,6;80,95;9;0,76;32;2,69;5;71,88;9,11;0,77;0,11;0,009;0;1,51;0,59;;;;0;0;0
C. Quintana;Patronato;Argentinos Juniors;LCB;34;175000;2023-12-31;11;1070;0;0,59;0;0;20,78;68,02;Argentina;Argentina, Spain;esquerdo;190;88;sim;11,94;7,65;72,53;8,33;68,69;0,42;0,59;0,34;5,97;8,35;1,26;0;0;0;0;0,25;0;0;0;0,05;0;0;3;0,25;33,33;0;0;0;0;0;0;0;0;0;0,34;50;0,84;30;0,42;0,34;0;12,36;0,34;0,67;27,67;74,47;15,98;62,63;1,18;85,71;8,92;92,45;22,46;81,27;5,21;45,16;23,71;39,45;0;0;0;0;0;0;0;4,71;51,79;0,34;0;0,25;33,33;0,08;0;7,99;63,16;0;;0;;0;0;0;0;;;1,01;;;0,08;0;0;0;0;0
M. Andújar;Estudiantes;Estudiantes;GK;39;1000000;2023-12-31;11;1069;0;0;0;0;0,51;50;Argentina;Argentina, Italy;direito;194;88;sim;1,09;0,17;100;0,25;33,33;0;0;0;0,93;1,29;0,08;2;0,17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,08;0;0;0;0;11,28;0,25;0;18,44;87,67;9,68;80,87;0;0;7,83;95,7;12,63;98;5,81;65,22;29,65;50,38;0;0;0;0;0;0;0;2,02;41,67;0;0;0,08;0;0;0;4,13;69,39;12;1,01;38;3,2;2;68,42;10,88;0,92;-1,12;-0,094;0;0,76;0,25;;;;0;0;0
G. Galoppo;São Paulo;Banfield;LCMF;23;7000000;2027-06-30;13;1067;5;2,53;0;0,24;15,86;50,53;Argentina;Argentina, Italy;direito;179;73;sim;7,34;5,9;65,71;3,04;44,44;0,42;0,49;0,17;3,04;3,52;1,18;2;0,17;0;0;1,35;0,42;5;0,42;0,21;4;0,34;24;2,02;41,67;20,833;0;0,42;20;0,25;33,33;0,17;0;0;1,1;23,08;3,54;38,1;2,28;0,59;0,93;15,01;0,17;1,01;22,1;78,63;5,82;69,57;4,05;91,67;8,1;80,21;19,82;81,28;1,86;63,64;17,95;28,62;0,02;0,51;0,08;0,08;0,67;25;0,17;2,87;61,76;1,18;57,14;0,51;33,33;0,59;0,08;2,87;55,88;0;;0;;0;0;0;0;;;0,08;;;0;0;0;0;0;0
J. Elías;San Lorenzo;Godoy Cruz;DMF, RCMF, LCMF;26;1200000;2023-12-31;11;1066;0;0,5;0;1,1;19,5;51,08;Argentina;Argentina, Italy;direito;175;70;sim;10,81;7,68;60,44;3,21;55,26;1,18;1,49;0,34;4,98;6,28;1,18;2;0,17;0;0;0,93;0;0;0;0,04;0;0;12;1,01;25;0;0;0,42;80;0;0;0,42;80;0;1,01;33,33;3,97;40,43;0,42;1,35;0,51;30,23;0,17;1,01;48,71;85,27;16,29;74,09;4,47;90,57;22,71;94,05;41,37;89,18;6,92;62,2;21,3;42,15;0,09;0,68;0;0;0,25;0;0,34;9,2;66,06;2,28;48,15;2,03;33,33;0,68;0,34;9,03;72,9;0;;0;;0;0;0;0;;;0,42;;;0,68;0,17;0;0;0;0
F. Cambeses;Banfield;Huracán;GK;25;700000;2023-06-30;11;1066;0;0;0;0;0,76;88,89;Argentina;Argentina, Italy;direito;184;80;sim;2,11;0,17;100;0,51;83,33;0;0;0;1,94;2,4;0;1;0,08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,98;0,08;0,08;16,46;84,62;9,62;77,19;0;0;6,08;95,83;9,88;97,44;6,5;66,23;36;51,98;0;0;0;0;0;0;0;1,77;57,14;0,17;0;0,08;0;0;0;5,49;78,46;16;1,35;48;4,05;2;66,67;11,47;0,97;-4,53;-0,382;0;0,76;0,51;;;;0;0;0
