Jogador;Equipa;Equipa dentro de um período de tempo seleccionado;Posição;Idade;Valor de mercado;Contrato termina;Partidas jogadas;Minutos jogados:;Golos;Golos esperados;Assistências;Assistências esperadas;Duelos/90;Duelos ganhos, %;Naturalidade;País de nacionalidade;Pé;Altura;Peso;Emprestado;Ações defensivas com êxito/90;Duelos defensivos/90;Duelos defensivos ganhos, %;Duelos aérios/90;Duelos aéreos ganhos, %;Cortes/90;Cortes de carrinho ajust. à posse;Remates intercetados/90;Interseções/90;Interceções ajust. à posse;Faltas/90;Cartões amarelos;Cartões amarelos/90;Cartões vermelhos;Cartões vermelhos/90;Acções atacantes com sucesso/90;Golos/90;Golos sem ser por penálti;Golos sem ser por penálti/90;Golos esperados/90;Golos de cabeça;Golos de cabeça/90;Remate;Remates/90;Remates à baliza, %;Golos marcados, %;Assistências/90;Cruzamentos/90;Cruzamentos certos, %;Cruzamentos do flanco esquerdo/90;Cruzamentos precisos do flanco esquerdo, %;Cruzamentos do flanco direito/90;Cruzamentos precisos do flanco direito, %;Cruzamentos para a área de baliza/90;Dribles/90;Dribles com sucesso, %;Duelos ofensivos/90;Duelos ofensivos ganhos, %;Toques na área/90;Corridas progressivas/90;Acelerações/90;Passes recebidos/90;Passes longos recebidos/90;Faltas sofridas/90;Passes/90;Passes certos, %;Passes para a frente/90;Passes para a frente certos, %;Passes para trás/90;Passes para trás certos, %;Passes laterais/90;Passes laterais certos, %;Passes curtos / médios /90;Passes curtos / médios precisos, %;Passes longos/90;Passes longos certos, %;Comprimento médio de passes, m;Comprimento médio de passes longos, m;Assistências esperadas/90;Assistências para remate/90;Segundas assistências/90;Terceiras assistências/90;Passes inteligentes/90;Passes inteligentes certos, %;Passes chave/90;Passes para terço final/90;Passes certos para terço final, %;Passes para a área de penálti/90;Passes precisos para a área de penálti, %;Passes em profundidade/90;Passes em profundidade certos, %;Receção de passes em profundidade/90;Cruzamentos em profundidade recebidos/90;Passes progressivos/90;Passes progressivos certos, %;Golos sofridos;Golos sofridos/90;Remates sofridos;Remates sofridos/90;Jogos sem sofrer golos;Defesas, %;Golos sofridos esperados ;Golos sofridos esperados/90;Golos expectáveis defendidos;Golos expectáveis defendidos por 90´;Passes para trás recebidos pelo guarda-redes/90;Saídas/90;Duelos aérios/90;Livres/90;Livres directos/90;Pontapés livres directos à baliza, %;Cantos/90;Penaltis marcados;Conversão de penaltis, %
F. Monetti;Lanús;San Lorenzo;GK;33;450000;2022-12-31;11;1065;0;0;0;0;0,51;66,67;Argentina;Argentina, Italy;direito;184;78;sim;1,77;0,08;0;0,25;100;0;0;0;1,77;2,64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,08;0;0,08;0;0;0;0;17,32;0,25;0,08;26,87;83,96;18,42;78,9;0;0;7,61;95,56;13,94;96,36;12,85;71,05;32,95;45,03;0;0;0;0;0;0;0;1,52;50;0;0;0,17;50;0;0;9,89;75,21;12;1,01;46;3,89;5;73,91;12,28;1,04;0,28;0,024;0;1,1;0,25;;;;0;0;0
J. Bay;Central Córdoba SdE;Central Córdoba SdE;LB;29;450000;2022-12-31;11;1063;0;0,47;1;0,98;22,44;59,62;Argentina;Argentina;esquerdo;179;79;sim;11,68;8,89;66,67;3,13;75,68;0,51;0,62;0,25;5,25;6,41;0,76;4;0,34;0;0;2,37;0;0;0;0,04;0;0;9;0,76;22,22;0;0,08;3,47;12,2;3,47;12,2;0;0;0,93;2,88;58,82;5,67;49,25;1,61;1,44;0,34;19,81;0,85;0,76;33,87;68,5;16,26;69,79;3,39;87,5;9,4;65,77;23,96;80,21;6,6;53,85;22;36,08;0,08;0,17;0;0;0,42;20;0,17;6,86;60,49;2,29;14,81;0,51;16,67;0,25;0,42;9,23;72,48;0;;0;;0;0;0;0;;;0,42;;;0,08;0;0;0,08;0;0
B. Bianchi;Atlético Tucumán;Colón;CB;33;425000;2024-12-31;11;1062;0;0,47;0;0;18,05;64,79;Argentina;Argentina, Italy;direito;183;79;sim;13,14;7,88;72,04;3,9;60,87;0,93;1,08;0,25;6,53;7,57;0,93;3;0,25;0;0;0,25;0;0;0;0,04;0;0;2;0,17;50;0;0;0,08;0;0;0;0,08;0;0;0,17;100;1,61;42,11;0,34;0,08;0;17,8;0,17;0,34;35;80,15;15,59;63,59;1,78;95,24;15;94,35;28,14;88,25;6,78;47,5;22,17;35,73;0;0;0;0;0;0;0;4,58;57,41;0,08;0;0,25;33,33;0,17;0;8,64;57,84;0;;0;;0;0;0;0;;;1,19;;;0;0;0;0;0;0
L. Burián;Vélez Sarsfield;Colón;GK;38;450000;2023-12-31;11;1062;0;0;0;0;0,68;50;Uruguay;Uruguay;direito;188;85;sim;2,03;0,08;0;0,25;100;0;0;0;2,03;2,36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,08;0;0;0;0;4,92;0,08;0,08;12,54;84,46;8,39;76,77;0;0;3,9;100;6,02;98,59;6,53;71,43;38,09;51,58;0;0;0;0;0;0;0;2,29;66,67;0,08;0;0;0;0;0;4,83;89,47;11;0,93;40;3,39;5;72,5;9,61;0,81;-1,39;-0,118;0;1,61;0,25;;;;0;0;0
C. Bravo;Portland Timbers;Banfield;LB;25;2000000;;11;1060;0;0,14;1;0,73;19,53;53,91;Argentina;Argentina;esquerdo;170;69;sim;11,63;8,24;62,89;2,12;52;0,42;0,51;0,34;6,03;7,27;1,27;3;0,25;1;0,08;2,55;0;0;0;0,01;0;0;7;0,59;14,29;0;0,08;0,93;36,36;0,93;36,36;0;0;0,17;2,63;70,97;6,88;49,38;0,08;1,53;1,53;20,8;0,76;0,85;33,96;76,75;17,32;71,57;2,46;93,1;10,02;82,2;27,85;81,71;5,26;58,06;20,03;34,53;0,06;0,68;0,08;0;0,34;75;0,34;6,79;70;1,95;47,83;0,42;40;0,51;0,25;9,93;72,65;0;;0;;0;0;0;0;;;0,17;;;0;0;0;0;0;0
E. Iñíguez;Aldosivi;Aldosivi;RB, RWB;26;275000;2025-12-31;11;1046;2;1,32;0;0,27;25,98;51,32;Argentina;Argentina;direito;177;74;sim;11,87;9,55;55,86;6,45;52;1,12;1,75;0,34;5,42;8,48;1,81;3;0,26;0;0;2,58;0,17;2;0,17;0,11;2;0,17;13;1,12;46,15;15,385;0;2,07;8,33;0;0;2,07;8,33;0,26;3,36;56,41;6,02;50;1,98;0,86;0,95;11,79;1,55;0,86;24,01;69,53;9,55;67,57;3,44;92,5;7,49;71,26;19,02;77,83;2,93;58,82;20,25;30,35;0,02;0,34;0;0;0,09;0;0,34;3,87;64,44;1,72;45;0,43;20;0,69;0,26;6,45;73,33;0;;0;;0;0;0;0;;;0,26;;;0;0;0;0;0;0
M. Payero;Boca Juniors;Banfield;RCMF;24;4000000;2024-06-30;12;1045;1;0,83;7;3,46;32,81;46,72;Argentina;Argentina, Italy;direito;183;80;sim;5,08;5,08;45,76;6,03;54,29;0,34;0,41;0;2,41;2,86;2,07;2;0,17;1;0,09;6,98;0,09;1;0,09;0,07;0;0;32;2,76;18,75;3,125;0,6;1,55;11,11;0,09;100;1,38;6,25;0,43;9,56;60,36;17,22;45,5;1,03;4,31;3,88;16,79;0,6;2,67;27,39;73,9;10,51;71,31;3,7;86,05;7,49;77,01;24,98;77,93;0,95;63,64;17,21;25,16;0,3;2,5;0,09;0,09;1,38;37,5;0,34;4,13;75;2,33;40,74;0,78;22,22;1,21;0,17;5,77;71,64;0;;0;;0;0;0;0;;;0;;;2,5;0,69;12,5;3,96;0;0
R. Lozano;Patronato;Huracán;RB, RWB;25;1000000;2023-12-31;11;1044;0;0,19;1;0,4;21,29;50,2;Argentina;Argentina;direito;179;79;sim;9,91;9,57;60,36;1,9;45,45;1,12;1,37;0,26;3,02;3,7;1,29;3;0,26;0;0;3,19;0;0;0;0,02;0;0;2;0,17;50;0;0,09;4,48;25;0,17;0;4,31;26;0,52;3,71;48,84;6,03;45,71;0,34;0,95;0,26;16,64;2,24;0,78;26,21;63,49;11,81;59,12;2,93;91,18;7,84;56,04;16,38;77,37;5,86;51,47;23,62;39,68;0,03;0,26;0;0;0,34;50;0,34;5,34;56,45;4,48;36,54;1,03;50;0,52;1,21;9,14;72,64;0;;0;;0;0;0;0;;;0,6;;;0;0;0;0,09;0;0
M. Carabajal;Independiente del Valle;Arsenal;RB, LCB;25;1000000;2022-12-31;11;1038;2;1,32;0;0,19;19,51;58,22;Argentina;Argentina;direito;184;74;sim;11,36;7,98;59,78;4,86;62,5;0,09;0,1;0,69;6,5;7,79;1,21;2;0,17;0;0;1,04;0,17;2;0,17;0,11;0;0;6;0,52;33,33;33,333;0;0,52;33,33;0;0;0,52;33,33;0,17;1,65;42,11;4,08;46,81;0,69;0,52;0,35;13,7;0,69;1,3;25,75;83,84;10,75;76,61;2,86;93,94;9,1;90,48;22,54;88,08;2,69;58,06;19,54;39,88;0,02;0,17;0;0;0;0;0,09;1,99;60,87;0,43;40;0;0;0,09;0,17;4,25;57,14;0;;0;;0;0;0;0;;;0,95;;;0;0;0;0;0;0
L. Lollo;Estudiantes;Banfield;LCB;35;350000;2023-12-31;11;1034;1;1,18;1;0,25;10,36;55,46;Argentina;Argentina, Italy;direito;184;78;sim;7,31;3,66;69,05;4,26;53,06;0,17;0,21;0,96;4,61;5,48;0,87;3;0,26;1;0,09;0,26;0,09;1;0,09;0,1;1;0,09;6;0,52;16,67;16,667;0,09;0;0;0;0;0;0;0;0,26;66,67;0,61;42,86;0,61;0,09;0;14,88;0,35;0,09;26,03;83,95;11,4;75,57;1,13;76,92;12,27;92,91;22,54;89,19;3,48;50;22,54;38,08;0,02;0,09;0;0;0;0;0,09;2,61;50;0,09;0;0;0;0,17;0;5,4;59,68;0;;0;;0;0;0;0;;;0,61;;;0;0;0;0;1;0
R. Aliendro;River Plate;Colón;RCMF, LCMF;31;2300000;2025-12-31;11;1032;0;0,89;2;0,9;25,99;46,31;Argentina;Argentina;direito;173;72;sim;11,34;9,33;60,75;2,27;38,46;1,4;1,61;0,09;4,27;4,93;2,27;3;0,26;0;0;1,74;0;0;0;0,08;0;0;8;0,7;12,5;0;0,17;1,05;25;0,09;0;0,96;27,27;0,09;2,62;40;9,07;37,5;1,05;0,87;0,87;24,07;0,87;2,18;35,76;76,1;13,52;62,58;4,8;85,45;10,9;87,2;30,96;79,72;3,84;59,09;18,28;29,27;0,08;0,78;0,09;0;1,22;28,57;0,17;7,5;70,93;1,66;42,11;1,31;26,67;0,87;0,17;7,24;72,29;0;;0;;0;0;0;0;;;0,17;;;0;0;0;0;0;0
F. Navarro;Chicago Fire;Talleres Córdoba;RDMF, RCMF, LCMF;22;4000000;2025-12-31;11;1029;0;0,35;0;0,14;20,82;50,42;Argentina;Argentina;direito;171;69;sim;10,93;9,71;62,16;1,05;41,67;0,7;1;0,09;4,2;6;1,75;4;0,35;0;0;2,36;0;0;0;0,03;0;0;8;0,7;50;0;0;0,35;0;0,09;0;0,26;0;0,09;3,24;62,16;6,38;47,95;0,17;1,75;0,96;21,52;0,09;0,35;37,87;84,53;11,02;69,84;7,61;91,95;13,38;90,2;34,9;87,97;2,62;50;18,15;38,25;0,01;0,26;0,09;0,09;0;0;0;4,37;64;0,87;20;0,17;50;0,35;0;4,29;57,14;0;;0;;0;0;0;0;;;1,31;;;0;0;0;0;0;0
M. Bíttolo;Argentinos Juniors;Newell's Old Boys;LB;32;450000;2023-12-31;11;1029;0;0,19;3;0,78;18,98;55,76;Argentina;Argentina, Italy;esquerdo;174;66;sim;14,08;9,27;62,26;3,15;66,67;1,14;1,48;0,26;7,17;9,32;0,44;2;0,17;0;0;1,92;0;0;0;0,02;0;0;5;0,44;40;0;0,26;2,62;23,33;2,62;23,33;0;0;0,26;2,62;33,33;3,85;45,45;0,79;1,57;0,35;31,57;1,84;0,87;46,62;78,61;21,95;74,5;5,77;96,97;14,52;77,11;39,97;84,9;4,11;53,19;20,31;33,18;0,07;1,05;0;0;0,87;30;0,44;6,73;76,62;3,76;30,23;1,31;20;0,7;0,44;12,42;74,65;0;;0;;0;0;0;0;;;0,35;;;1,14;0;0;1,57;0;0
H. Mancilla;Sarmiento;Gimnasia La Plata;LCMF, DMF, LDMF;30;275000;2023-12-31;11;1012;0;0;0;0;18,68;47,14;Colombia;Colombia;direito;174;80;sim;10,94;9,6;53,7;2,31;50;0,98;1,35;0,44;4,8;6,64;2,4;5;0,44;0;0;0,62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8;55,56;3,29;32,43;0;0,44;0,18;18,14;0,09;0,8;30,59;84,01;10,32;68,97;3,11;85,71;12,36;93,53;28,01;87,94;2,58;41,38;17,81;30,96;0;0;0;0;0,18;100;0;4;66,67;0,36;25;0,36;25;0,18;0;4,18;72,34;0;;0;;0;0;0;0;;;0,53;;;0;0;0;0;0;0
J. Komar;Rosario Central;Talleres Córdoba;RCB;26;1500000;2025-12-31;10;1008;0;0,47;0;0;15,89;63,48;Argentina;Argentina, Italy;direito;190;83;sim;9,91;6,96;69,23;6,34;66,2;0,89;1,28;0,45;4,2;6,03;1,34;5;0,45;0;0;0,36;0;0;0;0,04;0;0;3;0,27;66,67;0;0;0,09;100;0;0;0,09;100;0,09;0,09;100;0,36;75;0,54;0,54;0;28,3;0,27;0,18;42,59;90,99;14,91;79,04;2,14;95,83;22,77;98,04;37,5;94,52;5;64,29;22,98;40,95;0;0;0;0;0;0;0,09;2,95;60,61;0,18;0;0,09;0;0;0,09;6,25;78,57;0;;0;;0;0;0;0;;;2,05;;;0;0;0;0;0;0
